6.5,0.3
7,0.5
7.5,0.7
8,0.9
8.5,1.4
9,2.3
9.5,3.6
10,5.7
10.5,9
11,14
11.5,20
12,23
12.5,24
13,24
13.5,24
14,23
14.5,23
15,23
15.5,22
16,22
16.5,22
17,21
17.5,20
18.75,20
20,19
21.25,18
22.5,17
25,15
27.5,14
30,14
