spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.1058021,0.1013819,0.08925257,0.0,0.2318954,0.1578066,0.149096,0.0
3.0,0.004502923,0.007124933,0.005558769,0.0,0.03008846,0.01833092,0.01266004,0.0
4.0,0.0008362012,0.00257444,0.001257218,0.0,0.02331325,0.02118757,0.008780052,0.0
5.0,0.0003771488,0.001761795,0.0004800153,0.0,0.03098726,0.04385212,0.01341959,0.0
6.0,0.0002277034,0.001452092,0.0002159451,0.0,0.05086262,0.1051888,0.02592832,0.0
7.0,0.0001560491,0.001303923,0.000104914,0.0,0.09459881,0.2738354,0.05612775,0.0
