spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
0.01,0.003744343,0.02940882,0.001802723,0.0,0.1090788,0.2969087,0.03198861,0.0
0.015,0.005365895,0.02551032,0.003176387,0.0,0.07879484,0.1376724,0.02389595,0.0
0.02,0.007138886,0.02425581,0.004643627,0.0,0.06994928,0.09318047,0.02171502,0.0
0.025,0.009038755,0.02394286,0.006166779,0.0,0.06764375,0.07500493,0.02142377,0.0
0.03,0.01105777,0.02408708,0.007732252,0.0,0.06822065,0.06639253,0.02201227,0.0
0.035,0.01319304,0.02450004,0.009335579,0.0,0.07037178,0.06225124,0.02311404,0.0
0.04,0.01544328,0.02509362,0.01097598,0.0,0.07351749,0.0605721,0.02456474,0.0
0.045,0.01780767,0.02582117,0.01265415,0.0,0.07736227,0.0604179,0.02627948,0.0
0.05,0.02028547,0.02665557,0.01437131,0.0,0.0817397,0.0612969,0.02820968,0.0
