spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.0361098,0.07544161,0.0108494,0.0,0.2395191,0.09132996,0.06691391,0.0
2.1,0.03584906,0.07830057,0.01060301,0.0,0.2468765,0.09337513,0.06852275,0.0
2.2,0.03559789,0.08132852,0.01036289,0.0,0.2545603,0.09549711,0.0701895,0.0
2.3,0.03535609,0.08453593,0.01012888,0.0,0.2625856,0.09769881,0.07191627,0.0
2.4,0.03512346,0.08793385,0.009900838,0.0,0.2709685,0.09998326,0.07370524,0.0
2.5,0.03489984,0.0915341,0.009678603,0.0,0.2797258,0.1023537,0.07555869,0.0
2.6,0.03468502,0.09534933,0.00946203,0.0,0.2888753,0.1048133,0.07747899,0.0
2.7,0.03447885,0.09939306,0.009250972,0.0,0.2984357,0.1073657,0.0794686,0.0
2.8,0.03428115,0.1036798,0.009045289,0.0,0.3084265,0.1100144,0.08153008,0.0
2.9,0.03409177,0.1082249,0.008844841,0.0,0.3188683,0.1127632,0.0836661,0.0
3.0,0.03391053,0.1130449,0.008649492,0.0,0.3297829,0.115616,0.08587943,0.0
3.1,0.03373728,0.1181576,0.008459112,0.0,0.341193,0.1185771,0.08817296,0.0
3.2,0.03357193,0.1235818,0.008273579,0.0,0.3531227,0.1216506,0.0905497,0.0
3.3,0.0334142,0.1293378,0.008092737,0.0,0.3655971,0.124841,0.09301276,0.0
3.4,0.03326407,0.1354472,0.007916494,0.0,0.3786429,0.1281531,0.09556541,0.0
