spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.0004752653,0.002034812,0.0006390755,0.0,0.022682,0.02249192,0.008534892,0.0
2.1,0.0004651259,0.002011984,0.0006186512,0.0,0.02305742,0.02319198,0.008725672,0.0
2.2,0.0004552604,0.001989701,0.0005988762,0.0,0.02344571,0.02392121,0.008923645,0.0
2.3,0.0004456605,0.001967949,0.0005797305,0.0,0.0238473,0.02468092,0.009129083,0.0
2.4,0.0004363184,0.001946715,0.0005611952,0.0,0.02426261,0.02547246,0.009342268,0.0
2.5,0.0004272263,0.001925985,0.0005432517,0.0,0.0246921,0.02629726,0.009563496,0.0
2.6,0.0004183768,0.001905747,0.0005258819,0.0,0.02513622,0.0271568,0.009793076,0.0
2.7,0.0004097626,0.001885989,0.0005090681,0.0,0.02559545,0.02805265,0.01003133,0.0
2.8,0.0004013769,0.001866698,0.0004927933,0.0,0.0260703,0.02898644,0.01027859,0.0
2.9,0.0003932127,0.001847863,0.0004770406,0.0,0.0265613,0.02995991,0.0105352,0.0
3.0,0.0003852634,0.001829473,0.000461794,0.0,0.02706897,0.03097485,0.01080154,0.0
3.1,0.0003775227,0.001811515,0.0004470377,0.0,0.02759389,0.03203315,0.01107798,0.0
3.2,0.0003699851,0.001793985,0.0004327563,0.0,0.02813664,0.03313681,0.01136492,0.0
3.3,0.0003626424,0.001776859,0.0004189349,0.0,0.02869783,0.0342879,0.01166278,0.0
3.4,0.0003554909,0.001760139,0.0004055592,0.0,0.02927809,0.0354886,0.01197198,0.0
