spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.005460155,0.02287062,0.003276944,0.0,0.09632369,0.1866595,0.02865752,0.0
2.1,0.005357928,0.02298416,0.003188302,0.0,0.09854153,0.1956994,0.0292724,0.0
2.2,0.005258569,0.02310312,0.003102195,0.0,0.1008425,0.2052835,0.02990931,0.0
2.3,0.005161994,0.02322763,0.003018553,0.0,0.1032298,0.2154471,0.03056902,0.0
2.4,0.005068129,0.02335771,0.002937307,0.0,0.1057067,0.2262277,0.03125235,0.0
2.5,0.004976895,0.02349344,0.00285839,0.0,0.1082765,0.2376659,0.03196012,0.0
2.6,0.00488822,0.02363488,0.002781737,0.0,0.1109429,0.2498046,0.03269323,0.0
2.7,0.004802032,0.02378209,0.002707284,0.0,0.1137097,0.2626899,0.03345257,0.0
2.8,0.00471826,0.02393515,0.002634969,0.0,0.1165805,0.2763711,0.0342391,0.0
2.9,0.004636837,0.02409412,0.002564731,0.0,0.1195596,0.290901,0.0350538,0.0
3.0,0.004557696,0.02425909,0.002496511,0.0,0.1226511,0.3063359,0.0358977,0.0
3.1,0.004480773,0.02443014,0.002430251,0.0,0.1258594,0.3227363,0.03677186,0.0
3.2,0.004406011,0.02460737,0.002365896,0.0,0.1291891,0.3401666,0.03767739,0.0
3.3,0.004333332,0.02479081,0.002303388,0.0,0.132645,0.3586961,0.03861545,0.0
3.4,0.004262695,0.0249806,0.002242678,0.0,0.1362321,0.3783988,0.03958724,0.0
