spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,1.212652,0.5005601,0.5746321,0.0,1.937453,1.534609,0.8558556,0.0
3.0,0.1003786,0.1064815,0.04673467,0.0,0.2263951,0.1319066,0.07969035,0.0
4.0,0.04460983,0.2579637,0.0152996,0.0,0.2405819,0.09323216,0.06424583,0.0
5.0,0.03578536,0.9310735,0.00787965,0.0,0.4953798,0.1438044,0.1037362,0.0
6.0,0.03467166,3.800974,0.004714331,0.0,1.240816,0.2804998,0.1997256,0.0
7.0,0.0370357,16.77493,0.003073602,0.0,3.441271,0.6176163,0.4162042,0.0
