spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.0007645063,0.002628501,0.001255332,0.0,0.01795099,0.01380793,0.006158744,0.0
2.1,0.0007440442,0.002586686,0.001212099,0.0,0.01813616,0.0141635,0.006253614,0.0
2.2,0.0007242598,0.002546093,0.001170349,0.0,0.01832979,0.0145345,0.006352756,0.0
2.3,0.0007051285,0.002506686,0.001130035,0.0,0.01853209,0.01492156,0.006456309,0.0
2.4,0.0006866273,0.002468424,0.00109111,0.0,0.01874328,0.01532537,0.006564417,0.0
2.5,0.0006687337,0.002431273,0.001053528,0.0,0.01896358,0.01574665,0.006677228,0.0
2.6,0.0006514258,0.002395196,0.001017245,0.0,0.01919325,0.01618612,0.006794902,0.0
2.7,0.0006346828,0.002360159,0.0009822182,0.0,0.01943252,0.01664459,0.006917603,0.0
2.8,0.0006184845,0.002326129,0.0009484056,0.0,0.01968166,0.01712286,0.007045501,0.0
2.9,0.0006028113,0.002293075,0.0009157667,0.0,0.01994094,0.01762181,0.007178779,0.0
3.0,0.0005876444,0.002260964,0.0008842621,0.0,0.02021065,0.01814232,0.007317623,0.0
3.1,0.0005729657,0.002229768,0.0008538536,0.0,0.02049108,0.01868535,0.007462229,0.0
3.2,0.0005587576,0.002199456,0.000824504,0.0,0.02078255,0.01925189,0.007612805,0.0
3.3,0.0005450034,0.002170001,0.0007961775,0.0,0.02108537,0.01984299,0.007769563,0.0
3.4,0.0005316867,0.002141377,0.0007688391,0.0,0.02139988,0.02045972,0.007932729,0.0
