spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.5003983,0.2316579,0.2805833,0.0,1.018203,0.7599242,0.4902133,0.0
3.0,0.03112908,0.03300841,0.01964633,0.0,0.1125918,0.1145331,0.04198497,0.0
4.0,0.008375994,0.02746725,0.005337018,0.0,0.09499068,0.2391543,0.02902097,0.0
5.0,0.004483181,0.03268333,0.002386842,0.0,0.151599,0.856553,0.04291745,0.0
6.0,0.003124004,0.04324168,0.0012574,0.0,0.2954375,3.493133,0.07869586,0.0
7.0,0.002522519,0.06102954,0.0007259764,0.0,0.6356815,15.3228,0.1594631,0.0
