spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.004314572,0.009822944,0.005002508,0.01435987,0.04436809,0.04481903,0.01677068,0.02758657
2.1,0.00420859,0.009677959,0.004856033,0.01466928,0.04475979,0.04652507,0.01710964,0.0293487
2.2,0.004105969,0.009537842,0.004714228,0.01498955,0.04517171,0.04832586,0.01746338,0.03125021
2.3,0.004006594,0.009402438,0.004576946,0.01532107,0.0456043,0.05022701,0.01783246,0.03330324
2.4,0.00391036,0.009271596,0.004444047,0.01566425,0.04605804,0.05223449,0.01821748,0.0355211
2.5,0.003817161,0.009145171,0.004315393,0.0160195,0.04653343,0.05435467,0.01861903,0.03791832
2.6,0.003726897,0.009023022,0.004190851,0.01638726,0.047031,0.05659433,0.01903776,0.04051081
2.7,0.003639469,0.008905013,0.00407029,0.01676797,0.04755129,0.05896071,0.01947434,0.043316
2.8,0.003554782,0.008791012,0.003953584,0.01716211,0.04809488,0.06146153,0.01992948,0.04635296
2.9,0.003472746,0.008680892,0.00384061,0.01757015,0.04866237,0.06410502,0.02040391,0.04964262
3.0,0.00339327,0.008574531,0.003731247,0.0179926,0.04925439,0.06689996,0.02089839,0.05320776
3.1,0.003316268,0.008471811,0.003625381,0.01842999,0.0498716,0.06985573,0.02141375,0.05707361
3.2,0.003241658,0.008372615,0.003522897,0.01888286,0.05051468,0.07298234,0.02195082,0.06126763
3.3,0.00316936,0.008276835,0.003423687,0.01935178,0.05118435,0.07629049,0.02251049,0.06582004
3.4,0.003099294,0.008184363,0.003327644,0.01983734,0.05188136,0.07979158,0.02309369,0.07076394
