spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.2667478,0.3975168,0.2776316,0.01037651,0.8899912,0.327364,0.29964,0.01075137
3.0,0.01640531,0.02756541,0.01835753,0.01134142,0.09089958,0.05099269,0.02841722,0.0446057
4.0,0.004319153,0.01005437,0.004792852,0.01834385,0.05948088,0.09918244,0.02462927,0.2707988
5.0,0.002243325,0.007318126,0.002183766,0.03341256,0.07452159,0.3299569,0.04402423,1.909551
6.0,0.001488575,0.006597266,0.00121364,0.06562415,0.1191558,1.316794,0.09626882,14.85985
7.0,0.001120035,0.006570335,0.0007577426,0.1356822,0.2188009,6.034585,0.2341198,123.7576
