spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
0.01,0.0002997507,0.001618069,0.0003217523,0.0,0.02470915,0.02709359,0.009675714,0.0
0.015,0.0004668867,0.001981853,0.00064376,0.0,0.02009102,0.01665392,0.007134005,0.0
0.02,0.0006512039,0.002355063,0.001010856,0.0,0.01903984,0.0132246,0.006464709,0.0
0.025,0.0008536664,0.002742313,0.001408707,0.0,0.01913172,0.01178736,0.006380461,0.0
0.03,0.001074865,0.003146764,0.001830819,0.0,0.01973888,0.0111839,0.006565194,0.0
0.035,0.001315235,0.003570353,0.002273997,0.0,0.02062932,0.01101575,0.006905741,0.0
0.04,0.001575148,0.004014271,0.002736579,0.0,0.02169812,0.01111113,0.007351811,0.0
0.045,0.001854933,0.004479249,0.003217659,0.0,0.02289119,0.01138425,0.007877604,0.0
0.05,0.00215489,0.004965721,0.003716721,0.0,0.02417801,0.01178749,0.008468427,0.0
