spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
0.01,0.004807538,0.02197886,0.002207977,0.08853231,0.08737876,0.04034714,0.02630998,0.0
0.015,0.006912845,0.01741466,0.004024209,0.04891516,0.07048348,0.02782905,0.01958249,0.0
0.02,0.009032313,0.01582285,0.005997667,0.03497407,0.06719768,0.0241472,0.01778981,0.0
0.025,0.01118735,0.01528111,0.008075954,0.02807992,0.06826853,0.0231039,0.01756033,0.0
0.03,0.0133935,0.01525075,0.01024059,0.02401301,0.07135132,0.02322516,0.01805565,0.0
0.035,0.01566186,0.01552236,0.01248535,0.02134207,0.07559011,0.02399333,0.01897308,0.0
0.04,0.01800042,0.01599742,0.01480871,0.01945735,0.08060036,0.02518156,0.02017729,0.0
0.045,0.02041491,0.01662321,0.01721098,0.01805758,0.0861841,0.02667484,0.02159854,0.0
0.05,0.02290946,0.01736877,0.01969306,0.01697757,0.09222902,0.02840843,0.02319696,0.0
