spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.4629195,0.2217804,0.4464611,0.0158692,1.234595,0.4700094,0.4048694,0.0
3.0,0.03220091,0.02407322,0.02871143,0.02811527,0.1236483,0.04283991,0.03456634,0.0
4.0,0.01000172,0.01940207,0.007111336,0.06298383,0.08429998,0.03468634,0.02390719,0.0
5.0,0.005580718,0.02584926,0.003016103,0.1515788,0.1129693,0.05993098,0.03587074,0.0
6.0,0.003761757,0.03877629,0.001519426,0.3834042,0.1936257,0.1289508,0.06780437,0.0
7.0,0.00279123,0.06159307,0.0008376946,1.005594,0.3794912,0.3106153,0.1444559,0.0
