spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
0.01,0.001868236,0.00669332,0.001677759,0.02433324,0.05969823,0.1254185,0.02931209,0.2497473
0.015,0.002740298,0.00775882,0.002840817,0.01614866,0.0500824,0.06157362,0.01975697,0.08303442
0.02,0.003676128,0.009009997,0.004096199,0.01301035,0.04876012,0.04287058,0.01683452,0.04447692
0.025,0.004673833,0.01038642,0.005417128,0.01139523,0.05017152,0.03496876,0.01587804,0.02953278
0.03,0.00573325,0.01187156,0.006793169,0.0104258,0.05287166,0.03110661,0.01578016,0.02204515
0.035,0.006854489,0.01345922,0.008220241,0.009786617,0.05632406,0.02917272,0.01615279,0.01767733
0.04,0.008037597,0.01514638,0.009696928,0.009337849,0.06028456,0.02831687,0.01682621,0.01486223
0.045,0.009282469,0.01693111,0.01122295,0.009008434,0.0646262,0.02813596,0.01771455,0.01291644
0.05,0.01058885,0.01881188,0.01279846,0.008758579,0.06927638,0.02841566,0.01876962,0.01150046
