spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.01068182,0.01380553,0.00743413,0.03960923,0.06202202,0.02370547,0.01700914,0.0
2.1,0.01044061,0.01386687,0.007202459,0.0409216,0.06268116,0.02415122,0.01726535,0.0
2.2,0.01020628,0.01393448,0.006978179,0.04228976,0.06337277,0.02461676,0.01753278,0.0
2.3,0.009978622,0.01400837,0.006761066,0.04371624,0.06409771,0.02510282,0.01781178,0.0
2.4,0.009757432,0.01408854,0.0065509,0.04520372,0.06485686,0.02561017,0.01810272,0.0
2.5,0.009542519,0.01417499,0.006347471,0.04675497,0.06565118,0.0261396,0.01840596,0.0
2.6,0.009333694,0.01426775,0.006150568,0.04837292,0.06648164,0.02669196,0.01872191,0.0
2.7,0.009130772,0.01436683,0.005959991,0.05006064,0.06734929,0.02726813,0.01905097,0.0
2.8,0.008933576,0.01447226,0.005775543,0.05182133,0.06825519,0.02786904,0.01939359,0.0
2.9,0.008741933,0.01458408,0.005597031,0.05365837,0.06920048,0.02849565,0.01975021,0.0
3.0,0.008555673,0.01470232,0.00542427,0.05557529,0.07018633,0.02914898,0.02012131,0.0
3.1,0.008374634,0.01482703,0.005257079,0.0575758,0.07121397,0.02983009,0.02050737,0.0
3.2,0.008198656,0.01495824,0.00509528,0.05966378,0.07228471,0.0305401,0.02090892,0.0
3.3,0.008027584,0.01509602,0.004938702,0.06184331,0.07339987,0.03128018,0.02132648,0.0
3.4,0.00786127,0.01524042,0.004787179,0.06411867,0.07456086,0.03205155,0.02176062,0.0
