spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.002809911,0.007758792,0.002913249,0.02199727,0.05451163,0.08477536,0.0251377,0.05420471
2.1,0.002755669,0.007688044,0.002839185,0.02255146,0.05535773,0.08852659,0.0258076,0.0578668
2.2,0.002702875,0.007619487,0.002767234,0.02312481,0.05623356,0.09248715,0.02650413,0.06182264
2.3,0.002651488,0.007553067,0.002697336,0.02371802,0.05714006,0.09666983,0.02722841,0.06609806
2.4,0.00260147,0.007488731,0.002629434,0.02433183,0.05807819,0.1010883,0.02798159,0.07072129
2.5,0.00255278,0.00742643,0.002563469,0.02496698,0.05904897,0.1057572,0.02876488,0.07572326
2.6,0.002505382,0.007366113,0.002499387,0.02562426,0.06005346,0.1106919,0.02957955,0.08113778
2.7,0.002459238,0.007307733,0.002437133,0.02630449,0.06109274,0.1159091,0.03042694,0.08700189
2.8,0.002414312,0.007251243,0.002376656,0.02700853,0.06216795,0.1214266,0.03130842,0.09335615
2.9,0.002370572,0.007196598,0.002317902,0.02773725,0.06328027,0.1272631,0.03222546,0.100245
3.0,0.002327981,0.007143755,0.002260824,0.02849158,0.06443094,0.133439,0.03317958,0.1077172
3.1,0.002286509,0.007092671,0.002205372,0.02927246,0.06562124,0.1399757,0.03417237,0.115826
3.2,0.002246125,0.007043316,0.0021515,0.03008089,0.06685248,0.1468964,0.03520551,0.1246302
3.3,0.00220679,0.006995618,0.002099157,0.0309179,0.06812607,0.1542256,0.03628075,0.1341938
3.4,0.002168483,0.00694957,0.002048304,0.03178456,0.06944344,0.1619896,0.03739991,0.1445875
