spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
0.01,0.0329826,0.3258851,0.006481984,0.0,0.2949314,0.1033825,0.07523893,0.0
0.015,0.03645517,0.1502893,0.01028076,0.0,0.1854577,0.07593857,0.05310459,0.0
0.02,0.04097444,0.09978318,0.01410723,0.0,0.1522998,0.06853857,0.04624648,0.0
0.025,0.04599261,0.07818148,0.01793242,0.0,0.1402776,0.06739305,0.04415438,0.0
0.03,0.05135374,0.06711276,0.02175698,0.0,0.1369659,0.069117,0.04421357,0.0
0.035,0.05700068,0.06095466,0.02558994,0.0,0.1381547,0.07249768,0.04548191,0.0
0.04,0.06290942,0.05747632,0.0294421,0.0,0.1420491,0.07699579,0.04753946,0.0
0.045,0.06906887,0.05563228,0.03332382,0.0,0.1477607,0.08233455,0.05017072,0.0
0.05,0.07547349,0.05487205,0.03724429,0.0,0.1548008,0.0883563,0.05325325,0.0
