spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.04406383,0.05675005,0.01725812,0.0,0.1524333,0.06567712,0.04598171,0.0
2.1,0.04350981,0.05849547,0.01681034,0.0,0.1560085,0.06670225,0.04682102,0.0
2.2,0.04297503,0.06035487,0.01637531,0.0,0.1597538,0.06777287,0.04769453,0.0
2.3,0.04245893,0.06233479,0.01595267,0.0,0.1636763,0.06889044,0.04860335,0.0
2.4,0.04196099,0.0644422,0.01554209,0.0,0.167784,0.07005652,0.04954863,0.0
2.5,0.04148071,0.06668458,0.01514323,0.0,0.1720849,0.07127272,0.05053159,0.0
2.6,0.0410176,0.06906994,0.01475577,0.0,0.1765878,0.07254073,0.05155347,0.0
2.7,0.04057117,0.07160686,0.01437937,0.0,0.1813017,0.07386232,0.05261559,0.0
2.8,0.04014097,0.07430449,0.01401372,0.0,0.186236,0.07523933,0.0537193,0.0
2.9,0.03972654,0.07717262,0.01365853,0.0,0.1914008,0.0766737,0.05486604,0.0
3.0,0.03932746,0.08022182,0.01331349,0.0,0.1968066,0.07816746,0.05605728,0.0
3.1,0.03894329,0.08346333,0.01297831,0.0,0.2024646,0.07972272,0.05729457,0.0
3.2,0.03857364,0.08690918,0.0126527,0.0,0.2083864,0.08134168,0.05857951,0.0
3.3,0.03821811,0.0905723,0.01233639,0.0,0.2145842,0.08302668,0.05991378,0.0
3.4,0.03787631,0.09446649,0.01202911,0.0,0.221071,0.08478011,0.06129912,0.0
